step,layer,num_kv,deltaPKp_norm
0,4,1,5.777203426760025e-08
1,5,1,4.7852221740640744e-08
2,6,1,1.6809275393825374e-07
3,7,1,9.827990510302698e-08
0,4,1,5.777203426760025e-08
1,5,1,4.7852221740640744e-08
2,6,1,1.6809275393825374e-07
3,7,1,9.827990510302698e-08
4,8,1,2.2351741790771484e-07
0,4,1,3.981880425385498e-08
0,4,1,3.981880425385498e-08
1,5,1,7.497001774936507e-08
0,4,1,3.981880425385498e-08
1,5,1,7.497001774936507e-08
2,6,1,2.21709555603411e-07
0,4,1,3.981880425385498e-08
1,5,1,7.497001774936507e-08
2,6,1,2.21709555603411e-07
3,7,1,1.948579608779255e-07
0,4,1,3.981880425385498e-08
1,5,1,7.497001774936507e-08
2,6,1,2.21709555603411e-07
3,7,1,1.948579608779255e-07
4,8,1,4.522201777490409e-07
0,4,1,3.049281360745226e-08
0,4,1,3.049281360745226e-08
1,5,1,7.598131190889035e-08
0,4,1,3.049281360745226e-08
1,5,1,7.598131190889035e-08
2,6,1,1.8219678565856157e-07
0,4,1,3.049281360745226e-08
1,5,1,7.598131190889035e-08
2,6,1,1.8219678565856157e-07
3,7,1,3.1105616926652147e-07
0,4,1,3.049281360745226e-08
1,5,1,7.598131190889035e-08
2,6,1,1.8219678565856157e-07
3,7,1,3.1105616926652147e-07
4,8,1,3.006196038768394e-07
0,4,1,3.311110319259569e-08
0,4,1,3.311110319259569e-08
1,5,1,0.0
0,4,1,3.311110319259569e-08
1,5,1,0.0
2,6,1,1.1518318387970794e-07
0,4,1,3.311110319259569e-08
1,5,1,0.0
2,6,1,1.1518318387970794e-07
3,7,1,1.646308618319381e-07
0,4,1,3.311110319259569e-08
1,5,1,0.0
2,6,1,1.1518318387970794e-07
3,7,1,1.646308618319381e-07
4,8,1,2.9124052502993436e-07
0,4,1,2.9451005190139767e-08
0,4,1,2.9451005190139767e-08
1,5,1,5.67419320418594e-08
0,4,1,2.9451005190139767e-08
1,5,1,5.67419320418594e-08
2,6,1,1.2720653330688947e-07
0,4,1,2.9451005190139767e-08
1,5,1,5.67419320418594e-08
2,6,1,1.2720653330688947e-07
3,7,1,3.0629044545094075e-07
0,4,1,2.9451005190139767e-08
1,5,1,5.67419320418594e-08
2,6,1,1.2720653330688947e-07
3,7,1,3.0629044545094075e-07
4,8,1,3.534120764925319e-07
0,4,1,5.860676211000282e-08
0,4,1,5.860676211000282e-08
1,5,1,5.053229656937219e-08
0,4,1,5.860676211000282e-08
1,5,1,5.053229656937219e-08
2,6,1,7.543138025312146e-08
0,4,1,5.860676211000282e-08
1,5,1,5.053229656937219e-08
2,6,1,7.543138025312146e-08
3,7,1,1.1213062123260897e-07
0,4,1,5.860676211000282e-08
1,5,1,5.053229656937219e-08
2,6,1,7.543138025312146e-08
3,7,1,1.1213062123260897e-07
4,8,1,1.0848209086589122e-07
0,4,1,1.5644002360204468e-07
0,4,1,1.5644002360204468e-07
1,5,1,0.0
0,4,1,1.5644002360204468e-07
1,5,1,0.0
2,6,1,1.7788016748454538e-07
0,4,1,1.5644002360204468e-07
1,5,1,0.0
2,6,1,1.7788016748454538e-07
3,7,1,1.8521849654007383e-07
0,4,1,1.5644002360204468e-07
1,5,1,0.0
2,6,1,1.7788016748454538e-07
3,7,1,1.8521849654007383e-07
4,8,1,4.967922677678871e-07
0,4,1,5.248562473525453e-08
0,4,1,5.248562473525453e-08
1,5,1,4.148307652940275e-08
0,4,1,5.248562473525453e-08
1,5,1,4.148307652940275e-08
2,6,1,1.9075523027822783e-07
0,4,1,5.248562473525453e-08
1,5,1,4.148307652940275e-08
2,6,1,1.9075523027822783e-07
3,7,1,2.262327996049862e-07
0,4,1,5.248562473525453e-08
1,5,1,4.148307652940275e-08
2,6,1,1.9075523027822783e-07
3,7,1,2.262327996049862e-07
4,8,1,2.731428025981586e-07
0,4,1,7.309547100931013e-08
0,4,1,7.309547100931013e-08
1,5,1,3.706616880094771e-08
0,4,1,7.309547100931013e-08
1,5,1,3.706616880094771e-08
2,6,1,9.856191951485016e-08
0,4,1,7.309547100931013e-08
1,5,1,3.706616880094771e-08
2,6,1,9.856191951485016e-08
3,7,1,6.322026990801533e-08
0,4,1,7.309547100931013e-08
1,5,1,3.706616880094771e-08
2,6,1,9.856191951485016e-08
3,7,1,6.322026990801533e-08
4,8,1,1.3493576034306898e-07
0,4,1,3.5341205517624985e-08
0,4,1,3.5341205517624985e-08
1,5,1,4.945664855426912e-08
0,4,1,3.5341205517624985e-08
1,5,1,4.945664855426912e-08
2,6,1,1.215152991562718e-07
0,4,1,3.5341205517624985e-08
1,5,1,4.945664855426912e-08
2,6,1,1.215152991562718e-07
3,7,1,1.9471546863769618e-07
0,4,1,3.5341205517624985e-08
1,5,1,4.945664855426912e-08
2,6,1,1.215152991562718e-07
3,7,1,1.9471546863769618e-07
4,8,1,3.640887769051915e-07
0,4,1,7.295294324194401e-08
0,4,1,7.295294324194401e-08
1,5,1,9.912352538776759e-08
0,4,1,7.295294324194401e-08
1,5,1,9.912352538776759e-08
2,6,1,1.2059818743637152e-07
0,4,1,7.295294324194401e-08
1,5,1,9.912352538776759e-08
2,6,1,1.2059818743637152e-07
3,7,1,3.2270563110614603e-07
0,4,1,7.295294324194401e-08
1,5,1,9.912352538776759e-08
2,6,1,1.2059818743637152e-07
3,7,1,3.2270563110614603e-07
4,8,1,3.2544627970310103e-07
0,4,1,7.048579675483779e-08
0,4,1,7.048579675483779e-08
1,5,1,1.3155074896076258e-07
0,4,1,7.048579675483779e-08
1,5,1,1.3155074896076258e-07
2,6,1,8.494968994909868e-08
0,4,1,7.048579675483779e-08
1,5,1,1.3155074896076258e-07
2,6,1,8.494968994909868e-08
3,7,1,2.295214187597594e-07
0,4,1,7.048579675483779e-08
1,5,1,1.3155074896076258e-07
2,6,1,8.494968994909868e-08
3,7,1,2.295214187597594e-07
4,8,1,3.350276926994411e-07
0,4,1,7.048579675483779e-08
0,4,1,7.048579675483779e-08
1,5,1,8.640746074206618e-08
0,4,1,7.048579675483779e-08
