layer,count,cond_mean,cond_std,cond_min,cond_max,pkp_mean,pkp_std,pkp_min,pkp_max
4,1999,443.97527663831886,179.26549652146585,1.0,585.14,81.68296053026505,28.900537412262853,2.8049,122.44
5,1999,463.82804127063434,175.58701472926091,1.0,585.14,96.35498544272126,33.92491964344138,3.9608,143.92
6,1999,497.88544322161056,161.28050399003686,1.0,585.14,105.18749054527262,36.61109273824388,4.0864,156.26
7,1999,507.1856787393693,156.02558316142353,1.0,585.14,103.80613041520768,36.27868479305291,3.8473,154.28
8,1999,494.3743108554275,169.32686690349118,1.0,585.14,104.6526287143572,36.62663686325089,3.5103,155.81
