case_id_first,num_requests,layer_idx,layer,term1_data_KtT_W_minus_Vt_sq,term1_step_KtT_W_minus_Vt_sq,term2_W_minus_W0global_sq,term3_trace_deltaT_G0_delta,orig_weight_norm,upd_norm,z_error_mean
0,100,0,7,207476.421875,207476.421875,19.195280075073242,0.14683669805526733,132.54061889648438,4.381241798400879,42.25230407714844
0,100,1,8,181885.15625,181885.15625,24.26761245727539,0.222894549369812,133.97592163085938,4.926217079162598,40.4473762512207
0,100,2,9,172111.015625,172111.015625,78.13573455810547,0.44243043661117554,123.15225982666016,8.839442253112793,38.702476501464844
0,100,3,10,108129.5703125,108129.5703125,125.52119445800781,0.8592846989631653,132.27235412597656,11.20362377166748,35.803157806396484
0,100,4,11,18118.71875,18118.71875,354.07666015625,2.626267671585083,133.9901885986328,18.816925048828125,28.666654586791992
107,100,0,7,395122.96875,190700.96875,37.04558563232422,0.29384419322013855,132.5125732421875,4.118956565856934,39.51246643066406
107,100,1,8,342238.0,164065.6875,47.505958557128906,0.44060805439949036,133.9357147216797,4.67453670501709,37.817813873291016
107,100,2,9,327814.4375,158746.546875,150.9322967529297,0.8750190734863281,123.25154876708984,8.352926254272461,36.320579528808594
107,100,3,10,200644.28125,94677.7109375,240.83351135253906,1.6445070505142212,132.4169464111328,10.553499221801758,33.57511520385742
107,100,4,11,37691.16796875,16284.8369140625,656.042724609375,4.837902545928955,134.54331970214844,17.500202178955078,27.032821655273438
213,100,0,7,566095.625,176437.15625,54.53227996826172,0.43674707412719727,132.47967529296875,3.9678115844726562,36.545284271240234
213,100,1,8,488787.375,152802.9375,69.95952606201172,0.6547637581825256,133.89376831054688,4.4703450202941895,35.03913497924805
213,100,2,9,492240.59375,168849.203125,235.71356201171875,1.319819688796997,123.33352661132812,8.85230541229248,33.69742202758789
213,100,3,10,286368.71875,87462.859375,347.08526611328125,2.3581318855285645,132.5388946533203,10.093953132629395,31.18287467956543
213,100,4,11,86385.390625,42516.015625,1040.7008056640625,7.481622695922852,134.97364807128906,19.929096221923828,25.413503646850586
318,100,0,7,725695.875,166340.3125,72.06616973876953,0.5812532901763916,132.44874572753906,3.915140390396118,35.655128479003906
318,100,1,8,625737.5625,144643.71875,92.70890808105469,0.8691611289978027,133.85171508789062,4.410682678222656,34.2269172668457
318,100,2,9,635068.5,148579.0,318.1129455566406,1.7520532608032227,123.4692153930664,8.389392852783203,32.885128021240234
318,100,3,10,367518.625,82108.71875,450.09576416015625,3.0454585552215576,132.64076232910156,9.9690580368042,30.33274269104004
318,100,4,11,117073.765625,25760.73828125,1364.4556884765625,9.761630058288574,135.7566680908203,17.89971351623535,24.75362205505371
419,100,0,7,889519.875,171355.0,90.137451171875,0.7321091294288635,132.4169158935547,3.9360780715942383,37.34199523925781
419,100,1,8,767125.0,149250.6875,116.24546813964844,1.0909485816955566,133.8116912841797,4.4720611572265625,35.73955535888672
419,100,2,9,772426.375,140723.1875,385.89410400390625,2.136579990386963,123.59784698486328,7.965416431427002,34.23834991455078
419,100,3,10,449045.875,81060.625,554.6863403320312,3.7239623069763184,132.73146057128906,10.17753791809082,31.47159194946289
419,100,4,11,139094.625,12714.07421875,1617.2470703125,11.55199146270752,136.3347625732422,16.930580139160156,25.48162078857422
522,100,0,7,1048363.359375,167420.84375,108.74253845214844,0.8845042586326599,132.38461303710938,3.97817325592041,37.19796371459961
522,100,1,8,902667.8515625,143895.6875,139.76791381835938,1.3092440366744995,133.76954650878906,4.457657814025879,35.65212631225586
522,100,2,9,905752.578125,137224.53125,458.73150634765625,2.515589714050293,123.6634292602539,8.174151420593262,34.29698181152344
522,100,3,10,529567.0078125,79524.75,660.9310302734375,4.384833335876465,132.83045959472656,10.282146453857422,31.606449127197266
522,100,4,11,160608.201171875,11882.4677734375,1873.369873046875,13.310164451599121,136.6460723876953,16.971126556396484,25.544424057006836
628,100,0,7,1219803.03125,180126.359375,127.82598876953125,1.0461130142211914,132.35487365722656,4.022258281707764,39.45193099975586
628,100,1,8,1051522.65625,157855.640625,165.00083923339844,1.5483832359313965,133.72836303710938,4.567281246185303,37.752525329589844
628,100,2,9,1052548.25,149221.65625,526.099853515625,2.899526596069336,123.74639892578125,7.992351055145264,36.1937141418457
628,100,3,10,615933.515625,84209.9453125,771.1219482421875,5.069133758544922,132.93734741210938,10.54691219329834,33.21726989746094
628,100,4,11,182848.03515625,10883.234375,2141.27490234375,15.153600692749023,136.97653198242188,17.37220001220703,26.746259689331055
734,100,0,7,1386326.0625,176679.90625,147.8413543701172,1.215916395187378,132.32582092285156,4.059494972229004,39.18095016479492
734,100,1,8,1195483.8125,152845.3125,190.211669921875,1.7876756191253662,133.6913299560547,4.571356773376465,37.60416793823242
734,100,2,9,1195402.375,144816.46875,595.265869140625,3.282395601272583,123.81352233886719,8.146106719970703,36.17979049682617
734,100,3,10,701856.0,83055.4453125,880.5086669921875,5.751931667327881,133.05563354492188,10.604280471801758,33.32449722290039
734,100,4,11,207719.6875,10888.1123046875,2401.7216796875,16.928279876708984,137.33477783203125,17.393726348876953,26.867103576660156
840,100,0,7,1570152.25,194373.5625,170.09506225585938,1.4026567935943604,132.30050659179688,4.25673770904541,41.83560562133789
840,100,1,8,1352942.5,166085.5,218.09518432617188,2.0465524196624756,133.6566925048828,4.779858589172363,40.05424118041992
840,100,2,9,1359359.9375,166697.03125,687.5088500976562,3.729478120803833,123.88565063476562,8.94520092010498,38.30134582519531
840,100,3,10,794822.3125,89320.3125,999.903076171875,6.471810340881348,133.17510986328125,11.031949043273926,35.20833206176758
840,100,4,11,244861.703125,23836.490234375,2732.7744140625,19.16652488708496,137.6876983642578,18.804508209228516,28.304805755615234
950,100,0,7,1750599.0,190447.390625,192.25222778320312,1.588449478149414,132.28530883789062,4.241305828094482,41.891170501708984
950,100,1,8,1509578.9375,163497.8125,245.49270629882812,2.2979660034179688,133.6317596435547,4.787013053894043,40.268798828125
950,100,2,9,1522383.0625,164690.03125,779.2235107421875,4.173078536987305,124.04803466796875,9.118648529052734,38.679359436035156
950,100,3,10,888987.875,89691.578125,1120.7569580078125,7.198728561401367,133.33334350585938,11.162631034851074,35.5388069152832
950,100,4,11,283232.46875,21362.822265625,3073.368408203125,21.486141204833984,138.3046112060547,19.55164909362793,28.755619049072266
1055,100,0,7,1945823.53125,205477.484375,214.82293701171875,1.7839148044586182,132.27072143554688,4.3491740226745605,44.6508674621582
1055,100,1,8,1678471.6875,176081.75,273.7242431640625,2.5641980171203613,133.60595703125,4.903940200805664,42.692596435546875
1055,100,2,9,1690050.578125,167718.96875,853.5158081054688,4.58070182800293,124.21099853515625,8.696404457092285,40.816734313964844
1055,100,3,10,985948.46875,91573.015625,1242.2998046875,7.930149078369141,133.49728393554688,11.301033020019531,37.14626693725586
1055,100,4,11,313101.724609375,10435.708984375,3339.70263671875,23.306941986083984,138.94552612304688,18.312929153442383,29.410024642944336
1159,100,0,7,2135845.9375,200430.4375,238.0709686279297,1.9817349910736084,132.25564575195312,4.338764667510986,44.246707916259766
1159,100,1,8,1846735.375,174703.71875,302.0296630859375,2.830657720565796,133.5805206298828,4.893590927124023,42.365447998046875
1159,100,2,9,1853290.625,162570.125,930.5965576171875,4.984893798828125,124.29707336425781,8.853293418884277,40.576541900634766
1159,100,3,10,1082983.65625,90626.109375,1365.891357421875,8.659972190856934,133.65960693359375,11.420077323913574,37.06707763671875
1159,100,4,11,345182.671875,11106.32421875,3613.9091796875,25.16771697998047,139.31130981445312,18.49085235595703,29.750999450683594
1268,100,0,7,2326727.6875,201298.453125,260.91815185546875,2.1796135902404785,132.2464599609375,4.287487030029297,43.76436996459961
1268,100,1,8,2014782.75,173903.34375,329.94268798828125,3.0935282707214355,133.55824279785156,4.88407564163208,42.16242218017578
1268,100,2,9,2027632.375,173337.5625,1018.5865478515625,5.412306785583496,124.40509033203125,9.034459114074707,40.50613021850586
1268,100,3,10,1181383.359375,91456.453125,1487.3232421875,9.369518280029297,133.8378143310547,11.412504196166992,37.048240661621094
1268,100,4,11,389632.6953125,21193.19921875,3934.841552734375,27.377948760986328,139.72100830078125,19.551246643066406,29.600507736206055
1374,100,0,7,2524172.9375,208216.953125,285.500732421875,2.387227773666382,132.2347412109375,4.404139995574951,44.83388900756836
1374,100,1,8,2187097.5,177637.8125,359.5888366699219,3.3608956336975098,133.53599548339844,4.980556488037109,43.07465744018555
1374,100,2,9,2212766.375,183966.25,1122.3095703125,5.906194686889648,124.55496978759766,9.497241020202637,41.33252716064453
1374,100,3,10,1282124.0625,93563.671875,1612.656494140625,10.089438438415527,134.0098419189453,11.5252103805542,37.7232551574707
1374,100,4,11,437336.296875,27465.8515625,4321.724609375,30.066242218017578,140.30972290039062,20.104949951171875,30.033525466918945
1474,100,0,7,2729897.0,216161.09375,310.8238525390625,2.6050267219543457,132.23016357421875,4.435698986053467,46.09420394897461
1474,100,1,8,2369116.5,187422.84375,389.79315185546875,3.644721031188965,133.51913452148438,5.0311408042907715,44.22935485839844
1474,100,2,9,2403694.625,189299.5,1225.820068359375,6.401575088500977,124.76852416992188,9.654008865356445,42.34214782714844
1474,100,3,10,1386891.71875,96993.1875,1738.0654296875,10.840715408325195,134.1983642578125,11.627406120300293,38.80502700805664
1474,100,4,11,489986.125,25102.6796875,4727.5546875,32.96255874633789,141.1344451904297,20.567703247070312,31.136415481567383
1579,100,0,7,2923985.15625,202063.296875,333.91522216796875,2.799437999725342,132.22927856445312,4.398492813110352,45.47537612915039
1579,100,1,8,2543657.734375,177560.1875,417.62872314453125,3.899238348007202,133.50189208984375,5.002112865447998,43.662235260009766
1579,100,2,9,2571478.5,165071.640625,1295.090576171875,6.757879257202148,124.98562622070312,8.824170112609863,41.843109130859375
1579,100,3,10,1485395.8203125,90135.2265625,1858.947509765625,11.542128562927246,134.3904266357422,11.511788368225098,37.83429718017578
1579,100,4,11,526163.80078125,10617.134765625,4951.68798828125,34.52971267700195,142.0158233642578,18.786693572998047,29.83392906188965
1684,100,0,7,3124016.875,207645.046875,357.2823486328125,2.9993715286254883,132.22023010253906,4.450456619262695,46.27088928222656
1684,100,1,8,2722047.78125,181612.5625,446.2396240234375,4.166456699371338,133.47882080078125,5.0607686042785645,44.47220230102539
1684,100,2,9,2744118.8125,168384.578125,1368.6534423828125,7.131387710571289,125.06505584716797,8.96146297454834,42.77543258666992
1684,100,3,10,1588402.0625,93394.171875,1984.8338623046875,12.272371292114258,134.56459045410156,11.77066707611084,38.928993225097656
1684,100,4,11,563167.09765625,11190.830078125,5201.02001953125,36.232635498046875,142.2662353515625,18.93509292602539,30.890140533447266
1788,100,0,7,3326659.0625,211334.984375,382.30218505859375,3.2136220932006836,132.2099609375,4.480236053466797,46.54125213623047
1788,100,1,8,2902677.1875,183483.0,475.86236572265625,4.437474250793457,133.45819091796875,5.072224140167236,44.57839584350586
1788,100,2,9,2924729.1875,176585.96875,1449.0224609375,7.539039134979248,125.16213989257812,9.28934097290039,42.6614875793457
1788,100,3,10,1692681.40625,94322.65625,2109.646240234375,13.005901336669922,134.75692749023438,11.709550857543945,38.915462493896484
1788,100,4,11,611633.85546875,21080.22265625,5516.6220703125,38.497406005859375,142.60621643066406,19.678720474243164,30.917665481567383
1892,100,0,7,3530025.3125,210393.46875,405.9166259765625,3.4179325103759766,132.20899963378906,4.392935752868652,46.29996109008789
1892,100,1,8,3085070.25,184318.84375,504.8138732910156,4.703841686248779,133.44314575195312,5.046322822570801,44.50236129760742
1892,100,2,9,3103960.9375,175362.96875,1536.47119140625,7.9670610427856445,125.29185485839844,9.10798168182373,42.75643539428711
